Niksis359|1318344132|nomail|Nokia5610d-1/2.0 (08.30) Profile/MIDP-2.1 Configuration/CLDC-1.1|178.63.214.179|
должен умереть|1318344551|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/500; U; ru) Presto/2.4.18 Version/10.00|178.63.214.179|
должник|1318344568|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/500; U; ru) Presto/2.4.18 Version/10.00|178.63.214.179|
Спарта|1318346665|nomail|SonyEricssonK610i|178.63.214.179|
россия|1318346682|nomail|MAUI|178.63.214.179|
Гоп Стаил|1318346708|nomail|SonyEricssonK610i|178.63.214.179|
россея|1318346732|nomail|MAUI|178.63.214.179|
|1318346758|nomail|SonyEricssonK610i|178.63.214.179|
Марсиане|1318346780|nomail|SonyEricssonK610i|178.63.214.179|
mercs|1318348001|nomail|Opera/9.80 (Windows NT 5.1; U; ru) Presto/2.9.168 Version/11.51|178.63.214.179|
commanderr|1318348175|nomail|Nokia2700c-2|178.63.214.179|
stanislav625|1318348310|nomail|Nokia2700c-2|178.63.214.179|
Dokar|1318349395|nomail|Nokia5800 XpressMusic/Opera&lt;Ussr61&gt;/RU/400|178.63.214.179|
Аскарон|1318350115|nomail|Opera/9.80 (Android 2.1-update1; Linux; Opera Mobi/ADR-1109081720; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
Миши|1318351017|nomail|Nokia6233|178.63.214.179|
margana|1318351054|nomail|SonyEricssonT700|178.63.214.179|
Терра|1318351110|nomail|NokiaC2-01/5.0 (11.10) Profile/MIDP-2.1 Configuration/CLDC-1.1|178.63.214.179|
rw59rus|1318351338|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1106291584; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
assassin\'s|1318351496|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1109211774; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
assassin\'s|1318351507|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1109211774; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
assass|1318351518|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1109211774; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
Victoria agli Assassino|1318351595|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1109211774; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
assassino|1318351617|nomail|Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1109211774; U; ru) Presto/2.8.149 Version/11.10|178.63.214.179|
Zagadka|1318352079|nomail|NokiaX2-00/5.0 (04.80) Profile/MIDP-2.1 Configuration/CLDC-1.1|178.63.214.179|
Dima153759|1318353058|nomail|LG-KP500 Teleca/WAP2.0 MIDP-2.0/CLDC-1.1|178.63.214.179|
