ждо|1318345904|nomail|Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.9.168 Version/11.51|178.63.214.179|
wedrwer|1318852201|nomail|Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.9.168 Version/11.51|212.90.33.207|
вачыва|1318885733|nomail|Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.9.168 Version/11.51|212.90.33.207|
Hell|1318900300|nomail|SonyEricssonK790i|82.145.211.27|
Voland|1318900316|nomail|SonyEricssonK790i|82.145.211.27|
Россия|1318901149|nomail|? # ?|80.239.242.9|
Россия 2|1318901167|nomail|? # ?|80.239.242.9|
|1318901186|nomail|? # ?|80.239.242.9|
Россия 1995|1318901187|nomail|? # ?|80.239.242.9|
Скифия|1318901222|nomail|NokiaX2-00/5.0 (08.17) Profile/MIDP-2.1 Configuration/CLDC-1.1|80.239.242.9|
россия|1318904449|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|80.239.243.13|
россия|1318904462|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|80.239.243.13|
того|1318904524|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|80.239.243.13|
Alibek xxx|1318904990|nomail|NokiaX2-00/5.0 (04.90) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420+ (KHTML, like Gecko) Safari/420+|194.176.111.227|
Ха|1318906849|nomail|? # ?|80.239.242.69|
Краварез|1318907477|nomail|Nokia7310/2.0 (09.40) Profile/MIDP-2.1 Configuration/CLDC-1.1|2.76.156.242|
|1318908202|nomail|? # ?|82.145.210.41|
|1318908207|nomail|? # ?|82.145.210.41|
|1318908257|nomail|SAMSUNG-GT-C3200/1.0 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1 UNTRUSTED/1.0|82.145.208.203|
|1318908380|nomail|Nokia3110c/2.0 (07.21) Profile/MIDP-2.0 Configuration/CLDC-1.1|217.168.176.3|
Раммштайн|1318908459|nomail|NokiaX3-00|80.239.243.93|
|1318908471|nomail|Nokia3110c/2.0 (07.21) Profile/MIDP-2.0 Configuration/CLDC-1.1|217.168.176.3|
вельсиала|1318909107|nomail|Mozilla/5.0 (SymbianOS/9.3; Series60/3.2 NokiaC5-00/031.013; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.1.5|82.145.210.23|
ренат|1318909921|nomail|Nokia5130c-2|80.239.243.37|
Atilla4456|1318910088|nomail|Nokia6700c-1|82.145.209.45|
Малые Острова|1318911253|nomail|LG-GX200 Obigo/WAP2.0 MIDP-2.0/CLDC-1.1|77.74.67.225|
Остров М|1318911299|nomail|LG-GX200 Obigo/WAP2.0 MIDP-2.0/CLDC-1.1|77.74.67.224|
Антон Великий|1318911337|nomail|Nokia5130c-2|80.239.243.37|
АнтонВеликий|1318911353|nomail|Nokia5130c-2|80.239.243.37|
Антон1|1318911373|nomail|Nokia5130c-2|80.239.243.37|
Васёк|1318912317|nomail|Mozilla/5.0 (SymbianOS/9.4; U; Series60/5.0 Nokia5228/21.1.004; Profile/MIDP-2.1 Configuration/CLDC-1.1; ru) AppleWebKit/525 (KHTML, like Gecko) BrowserNG/7.2.5.2|80.239.243.160|
Славянка|1318912345|nomail|Nokia5310XpressMusic|80.239.243.242|
rossiy07|1318912577|nomail|SAMSUNG-GT-C3200/1.0 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|83.149.35.146|
rossiy|1318912591|nomail|SAMSUNG-GT-C3200/1.0 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|83.149.35.146|
россия|1318913213|nomail|Nokia2700c-2|217.212.230.59|
света25|1318913235|nomail|Nokia2700c-2|217.212.230.59|
россия|1318913536|nomail|NokiaN73-1|80.239.242.189|
россия19831103|1318913566|nomail|NokiaN73-1|80.239.242.189|
россияия|1318913602|nomail|NokiaN73-1|80.239.242.189|
Leshamykhalyuk|1318914277|nomail|SEC-SGHB200/1.0 Openwave/6.2.3 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0|193.41.62.122|
Вероника28|1318914540|nomail|Alcatel-OT-305/1.0 ObigoInternetBrowser/Q03C|83.149.48.7|
|1318914667|nomail|Alcatel-OT-305/1.0 ObigoInternetBrowser/Q03C|83.149.48.18|
|1318914675|nomail|Alcatel-OT-305/1.0 ObigoInternetBrowser/Q03C|83.149.48.34|
delfij|1318914763|nomail|? # ?|82.145.210.167|
Blade|1318915613|nomail|SonyEricssonK770i/R8AA Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1|85.26.155.55|
AVALON|1318916354|nomail|Mozilla/5.0 (SymbianOS/9.4; U; Series60/5.0 Nokia5230/10.0.057; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/413 (KHTML, like Gecko) Safari/413|82.145.211.108|
386481441146|1318916720|nomail|Nokia3110c|82.145.210.137|
Lemberg|1318916759|nomail|Nokia3500c|82.145.211.85|
skopoxog|1318916906|nomail|SonyEricssonK800i/R8BF Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.212.230.84|
|1318916984|nomail|SonyEricssonK800i/R8BF Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1|217.212.230.84|
хортиган|1318918179|nomail|? # ?|82.145.209.53|
Ворскла|1318919737|nomail|Nokia5500d|82.145.210.155|
Quiet|1318920394|nomail|SonyEricssonK770i|80.239.243.141|
Роман44540|1318921323|nomail|SAMSUNG-C5212/C5212XEIC3 NetFront/3.4 Profile/MIDP-2.0 Configuration/CLDC-1.1|80.239.243.154|
Poman44540|1318921366|nomail|SAMSUNG-C5212/C5212XEIC3 NetFront/3.4 Profile/MIDP-2.0 Configuration/CLDC-1.1|80.239.243.154|
Kazakstan|1318921443|nomail|Nokia2700c-2/2.0 (09.97) Profile/MIDP-2.1 Configuration/CLDC-1.1|217.212.230.102|
март|1318922587|nomail|Nokia5130c-2/2.0 (06.65) Profile/MIDP-2.1 Configuration/CLDC-1.1|82.145.211.52|
Voden|1318922787|nomail|Mozilla/5.0 (SymbianOS/9.1; U; en-us) AppleWebKit/413 (KHTML, like Gecko) Safari/413|88.154.37.134|
avtobot|1318923477|nomail|Nokia6700c-1|82.145.211.82|
Taigeert|1318924350|nomail|NokiaX2-00/5.0 (04.80) Profile/MIDP-2.1 Configuration/CLDC-1.1|82.145.210.176|
юзеф|1318925025|nomail|Nokia5130c-2|82.145.209.166|
Orochimaro sama|1318925695|nomail|NokiaX2-00|82.145.210.187|
SexCompanion|1318926779|nomail|Nokia2700c-2|80.239.243.208|
stavr|1318927653|nomail|Nokia6300|80.239.243.177|
Gabriel|1318927952|nomail|Nokia6300|82.145.209.72|
VOQR|1318928748|nomail|RT240X320/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.0|46.133.138.93|
VOQR1|1318928769|nomail|RT240X320/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.0|46.133.138.93|
Хоринис|1318928780|nomail|Nokia6233/2.0 (05.60) Profile/MIDP-2.0 Configuration/CLDC-1.1|88.154.127.45|
Інгольф|1318929108|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|82.145.208.26|
Інгольф|1318929137|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|82.145.208.26|
Украина|1318929698|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|82.145.208.26|
Ингольф|1318929730|nomail|Nokia5130c-2/2.0 (07.91) Profile/MIDP-2.1 Configuration/CLDC-1.1|82.145.208.26|
djkain|1318929755|nomail|? # ?|80.239.243.55|
